date,Q,P,Q_interp,Q_filled
1982-03-03,0.0,0.6840320284392502,0.0,0.0
1982-03-04,0.0,4.97227370598992,0.0,0.0
1982-03-05,0.0,0.48617224775789114,0.0,0.0
1982-03-06,0.0,1.8779181976983714,0.0,0.0
1982-03-07,0.0,4.579625615281072,0.0,0.0
1982-03-08,0.0,3.941196428481971,0.0,0.0
1982-03-09,0.0,1.4839829470680976,0.0,0.0
1982-03-10,0.0,3.9851096456608666,0.0,0.0
1982-03-11,0.0,4.585677132104482,0.0,0.0
1982-03-12,0.0,2.6345852231384024,0.0,0.0
1982-03-13,0.0,3.437287128303743,0.0,0.0
1982-03-14,0.0,1.9022704806067563,0.0,0.0
1982-03-15,0.0,5.720975836047649,0.0,0.0
1982-03-16,0.0,2.16389087572449,0.0,0.0
1982-03-17,0.0,0.4238873349653325,0.0,0.0
1982-03-18,0.0,3.5916710021138405,0.0,0.0
1982-03-19,0.0,0.7281284718199631,0.0,0.0
1982-03-20,0.0,6.325825575918218,0.0,0.0
1982-03-21,0.0,3.342879481012759,0.0,0.0
1982-03-22,0.0,0.15441467537383813,0.0,0.0
1982-03-23,0.0,4.754743303520397,0.0,0.0
1982-03-24,0.0,2.9997124896379654,0.0,0.0
1982-03-25,0.0,4.238644780911808,0.0,0.0
1982-03-26,0.0,2.4363829956898706,0.0,0.0
1982-03-27,0.0,6.098619095550704,0.0,0.0
1982-03-28,0.0,1.1464462921202072,0.0,0.0
1982-03-29,0.0,4.937814779971571,0.0,0.0
1982-03-30,0.0,3.079145911418422,0.0,0.0
1982-03-31,0.0,0.25963012070794744,0.0,0.0
1982-04-01,0.0,0.22311892888518833,0.0,0.0
1982-04-02,0.0,1.7427664789207724,0.0,0.0
1982-04-03,0.0,0.9908362119981416,0.0,0.0
1982-04-04,0.0,0.15300745139759367,0.0,0.0
1982-04-05,0.0,0.5762204159723712,0.0,0.0
1982-04-06,0.0,1.9933279074469135,0.0,0.0
1982-04-07,0.0,0.9656695077208372,0.0,0.0
1982-04-08,0.0,11.724481414470345,0.0,0.0
1982-04-09,0.0,1.1729239222018137,0.0,0.0
1982-04-10,0.0,5.87167347180996,0.0,0.0
1982-04-11,0.0,7.879489007934589,0.0,0.0
1982-04-12,0.0,1.384387351906899,0.0,0.0
1982-04-13,0.0,1.2639154520769367,0.0,0.0
1982-04-14,0.0,1.41754118995449,0.0,0.0
1982-04-15,0.0,1.988679551453815,0.0,0.0
1982-04-16,0.0,1.616079693974676,0.0,0.0
1982-04-17,0.0,0.6054639431355382,0.0,0.0
1982-04-18,0.0,3.1571325700183297,0.0,0.0
1982-04-19,0.0,1.610752977013755,0.0,0.0
1982-04-20,0.0,12.029084282200394,0.0,0.0
1982-04-21,0.0,5.002224839402531,0.0,0.0
1982-04-22,0.0,1.6345215613991388,0.0,0.0
1982-04-23,0.0,3.8353469284875477,0.0,0.0
1982-04-24,0.0,3.7153631524987443,0.0,0.0
1982-04-25,0.0,5.544263557877825,0.0,0.0
1982-04-26,0.0,0.22769057322143682,0.0,0.0
1982-04-27,0.0,0.534786852763469,0.0,0.0
1982-04-28,0.0,0.94740183665805,0.0,0.0
1982-04-29,0.0,2.3154962938957198,0.0,0.0
1982-04-30,0.0,0.9131008410868876,0.0,0.0
1982-05-01,0.0,1.4276833168295098,0.0,0.0
